team1,team2,toss_winner,venue,winner,team1_matches_played,team1_wins,team1_win_percentage,team1_recent_form,team1_total_runs,team1_balls_faced,team1_strike_rate,team1_wickets,team1_balls_bowled,team1_economy,team2_matches_played,team2_wins,team2_win_percentage,team2_recent_form,team2_total_runs,team2_balls_faced,team2_strike_rate,team2_wickets,team2_balls_bowled,team2_economy,win_percentage_diff,recent_form_diff,strike_rate_diff,economy_diff,wickets_diff
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,-9.436877803303794,0,0.7164802265712353,0.38644290771206524,-199
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,196,93,47.44897959183674,3,31590,23442,134.75812643972358,1162,23351,8.141921116868657,3.687384044526894,-1,-0.9727242710878841,-0.17977924513712829,383
Rajasthan Royals,Gujarat Titans,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,90,50,55.55555555555556,2,15511,10896,142.3549926578561,537,10690,8.666604303086997,-7.044917257683217,0,-8.550107620967623,-0.5950997276454135,808
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484,-1.836570970144976,0,0.18609633740348386,0.021708874923429988,143
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458,4.6941323345817665,3,3.5737594742305987,0.06677348725972365,12
Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,90,50,55.55555555555556,2,15511,10896,142.3549926578561,537,10690,8.666604303086997,58,30,51.72413793103448,1,10242,7144,143.36506159014556,344,6934,8.820882607441591,3.8314176245210803,1,-1.010068932289471,-0.15427830435459455,193
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,196,93,47.44897959183674,3,31590,23442,134.75812643972358,1162,23351,8.141921116868657,1.061658706035601,-1,-0.9532414028351184,-0.07041654142707365,183
Punjab Kings,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,-6.060606060606055,0,2.238082439425227,0.3242621452634502,-37
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,-5.623746490172486,2,1.052335169808515,0.2653887778502684,-119
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458,12.154449794899229,1,2.3353279670186,-0.2203241655139747,-12
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,2.625725338491293,0,-0.019482868252765684,-0.10936270371005463,200
Mumbai Indians,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai Indians,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,90,50,55.55555555555556,2,15511,10896,142.3549926578561,537,10690,8.666604303086997,-1.0429201764941851,0,-7.047988276366397,-0.7666431938040832,1170
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,196,93,47.44897959183674,3,31590,23442,134.75812643972358,1162,23351,8.141921116868657,58,30,51.72413793103448,1,10242,7144,143.36506159014556,344,6934,8.820882607441591,-4.275158339197738,2,-8.606935150421975,-0.6789614905729344,818
Punjab Kings,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Punjab Kings,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458,0.8810010214504587,1,3.237904530993319,0.18782761712152052,-68
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,0.37825059101654546,2,2.5544545144097413,0.09384531169159871,243
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,5.212842712842715,0,1.335505875450508,-0.08388963737204502,19
